DEPCOM;COM;PMUN;PCAP;PTOT
18033;Bourges;64551;2038;66589
28084;Chartainvilliers;727;9;736
28085;Chartres;38578;1185;39763
28088;Châteaudun;13195;324;13519
36044;Châteauroux;43741;1577;45318
36045;Châtillon-sur-Indre;2567;55;2622
37261;Tours;135787;2829;138616
37281;Vouvray;3238;72;3310
41017;Binas;686;17;703
41018;Blois;46086;1629;47715
41194;Romorantin-Lanthenay;17754;492;18246
45028;Beaugency;7298;185;7483
45208;Montargis;14643;569;15212
45234;Orléans;116685;2400;119085
45252;Pithiviers;8981;148;9129
45253;Pithiviers-le-Vieil;1813;47;1860
